read_code,read_term,QOF,cat2,cat1
G3300,Nocturnal angina,No,Chronic cardiac disease,comorbidities
G330z,Angina decubitus NOS,No,Chronic cardiac disease,comorbidities
G331.,Prinzmetal's angina,No,Chronic cardiac disease,comorbidities
G33z.,Angina pectoris NOS,No,Chronic cardiac disease,comorbidities
G33z0,Status anginosus,No,Chronic cardiac disease,comorbidities
G33z1,Stenocardia,No,Chronic cardiac disease,comorbidities
G33z2,Syncope anginosa,No,Chronic cardiac disease,comorbidities
G33z3,Exercise-induced angina,No,Chronic cardiac disease,comorbidities
G33zz,Angina pectoris NOS,No,Chronic cardiac disease,comorbidities
G34..,Other chronic ischaemic heart disease,No,Chronic cardiac disease,comorbidities
G340.,Coronary (atheroscl or artery dis) or triple vess dis heart,No,Chronic cardiac disease,comorbidities
G3400,Single coronary vessel disease,No,Chronic cardiac disease,comorbidities
G3401,Double coronary vessel disease,No,Chronic cardiac disease,comorbidities
G341.,Aneurysm of heart,No,Chronic cardiac disease,comorbidities
G3410,Ventricular cardiac aneurysm,No,Chronic cardiac disease,comorbidities
G3411,Mural cardiac aneurysm (& [other]),No,Chronic cardiac disease,comorbidities
G3412,Coronary artery aneurysm,No,Chronic cardiac disease,comorbidities
G3413,Acquired atrioventricular fistula of heart,No,Chronic cardiac disease,comorbidities
G341z,Aneurysm of heart NOS,No,Chronic cardiac disease,comorbidities
G343.,Generalised ischaemic myocardial dysfunction,No,Chronic cardiac disease,comorbidities
G34y.,Other specified chronic ischaemic heart disease,No,Chronic cardiac disease,comorbidities
G34y0,Chronic myocardial ischaemia,No,Chronic cardiac disease,comorbidities
G34y1,Chronic myocardial ischaemia,No,Chronic cardiac disease,comorbidities
G34yz,Other specified chronic ischaemic heart disease NOS,No,Chronic cardiac disease,comorbidities
G34z.,Other chronic ischaemic heart disease NOS,No,Chronic cardiac disease,comorbidities
G35..,Subsequent myocardial infarction,No,Chronic cardiac disease,comorbidities
G350.,Subsequent myocardial infarction of anterior wall,No,Chronic cardiac disease,comorbidities
G351.,Subsequent myocardial infarction of inferior wall,No,Chronic cardiac disease,comorbidities
G353.,Subsequent myocardial infarction of other sites,No,Chronic cardiac disease,comorbidities
G36..,Certain current complication follow acute myocardial infarct,No,Chronic cardiac disease,comorbidities
G360.,Haemopericardium/current comp folow acut myocard infarct,No,Chronic cardiac disease,comorbidities
G361.,Atrial septal defect/curr comp folow acut myocardal infarct,No,Chronic cardiac disease,comorbidities
G363.,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI,No,Chronic cardiac disease,comorbidities
G364.,Ruptur chordae tendinae/curr comp fol acute myocard infarct,No,Chronic cardiac disease,comorbidities
G365.,Rupture papillary muscle/curr comp fol acute myocard infarct,No,Chronic cardiac disease,comorbidities
G366.,"Thrombosis atrium,auric append&vent/curr comp foll acute MI",No,Chronic cardiac disease,comorbidities
G3y..,Other specified ischaemic heart disease,No,Chronic cardiac disease,comorbidities
G3z..,Ischaemic heart disease NOS,No,Chronic cardiac disease,comorbidities
G400.,Acute cor pulmonale,No,Chronic cardiac disease,comorbidities
G41..,Chronic pulmonary heart disease,No,Chronic cardiac disease,comorbidities
G41y.,Other chronic pulmonary heart disease,No,Chronic cardiac disease,comorbidities
G41yz,Other chronic pulmonary heart disease NOS,No,Chronic cardiac disease,comorbidities
G41z.,Chronic cor pulmonale (& [NOS]),No,Chronic cardiac disease,comorbidities
G5102,Chronic bacterial endocarditis,No,Chronic cardiac disease,comorbidities
G54z2,Chronic cardiac valvulitis NOS,No,Chronic cardiac disease,comorbidities
G55..,Cardiomyopathy,No,Chronic cardiac disease,comorbidities
G550.,Restrictive cardiomyopathy with endomyocardial fibrosis,No,Chronic cardiac disease,comorbidities
G551.,Hypertrophic obstructive cardiomyopathy,No,Chronic cardiac disease,comorbidities
G552.,(Becker's disease) or (obscure African cardiomyopathy),No,Chronic cardiac disease,comorbidities
G554.,Other primary cardiomyopathies,No,Chronic cardiac disease,comorbidities
G5540,(Congestive obstructive) or (congestive cardiomyopathy),No,Chronic cardiac disease,comorbidities
G5541,Restrictive cardiomyopathy,No,Chronic cardiac disease,comorbidities
G5542,Familial cardiomyopathy,No,Chronic cardiac disease,comorbidities
G5543,Hypertrophic cardiomyopathy without obstruction,No,Chronic cardiac disease,comorbidities
G5544,Primary dilated cardiomyopathy,No,Chronic cardiac disease,comorbidities
G554z,Other primary cardiomyopathy NOS,No,Chronic cardiac disease,comorbidities
G555.,Alcohol-induced heart muscle disease,No,Chronic cardiac disease,comorbidities
G557.,Nutritional and metabolic cardiomyopathies,No,Chronic cardiac disease,comorbidities
G5572,Cardiac glycogenosis,No,Chronic cardiac disease,comorbidities
G5574,Mucopolysaccharidosis cardiomyopathy,No,Chronic cardiac disease,comorbidities
G557z,(Heart:[fat infil][fat degen]) or (nutr/met cardmyopath NOS),No,Chronic cardiac disease,comorbidities
G558.,Cardiomyopathy in disease EC,No,Chronic cardiac disease,comorbidities
G5580,Cardiomyopathy in Friedreich's ataxia,No,Chronic cardiac disease,comorbidities
G5581,Cardiomyopathy in myotonic dystrophy,No,Chronic cardiac disease,comorbidities
G5582,Dystrophic cardiomyopathy,No,Chronic cardiac disease,comorbidities
G558z,"Cardiomyopathy in diseases EC, NOS",No,Chronic cardiac disease,comorbidities
G55y.,Secondary cardiomyopathy: [dilated] or [NOS],No,Chronic cardiac disease,comorbidities
G55y0,Cardiomyopathy due to drugs and other external agents,No,Chronic cardiac disease,comorbidities
G55z.,Cardiomyopathy NOS,No,Chronic cardiac disease,comorbidities
G58..,Heart failure,No,Chronic cardiac disease,comorbidities
G580.,Heart failure: [right] or [congestive],No,Chronic cardiac disease,comorbidities
G5800,Acute congestive heart failure,No,Chronic cardiac disease,comorbidities
G5801,Chronic congestive heart failure,No,Chronic cardiac disease,comorbidities
G5802,Decompensated cardiac failure,No,Chronic cardiac disease,comorbidities
G5803,Compensated cardiac failure,No,Chronic cardiac disease,comorbidities
G581.,(L ventric:[fail][imp func]) or (card asth) or (ac pulm oed),No,Chronic cardiac disease,comorbidities
G5810,Acute left ventricular failure,No,Chronic cardiac disease,comorbidities
G582.,Acute heart failure,No,Chronic cardiac disease,comorbidities
G58z.,Heart: [weak] or [failure NOS],No,Chronic cardiac disease,comorbidities
G5y1.,Myocardial degeneration,No,Chronic cardiac disease,comorbidities
G5y2.,Cardiovascular arteriosclerosis unspecified,No,Chronic cardiac disease,comorbidities
G5y4.,Post cardiac operation functional disturbance,No,Chronic cardiac disease,comorbidities
G5y40,Postcardiotomy syndrome,No,Chronic cardiac disease,comorbidities
G5y4z,Post cardiac operation heart failure NOS,No,Chronic cardiac disease,comorbidities
G5yy6,Atrial thrombosis,No,Chronic cardiac disease,comorbidities
G700.,(Aortic atherosclerosis) or (aorto-iliac disease),No,Chronic cardiac disease,comorbidities
Gyu14,[X]Other specified rheumatic heart diseases,No,Chronic cardiac disease,comorbidities
Gyu30,[X]Other forms of angina pectoris,No,Chronic cardiac disease,comorbidities
Gyu31,[X]Other current complicatns following acute myocard infarct,No,Chronic cardiac disease,comorbidities
Gyu32,[X]Other forms of acute ischaemic heart disease,No,Chronic cardiac disease,comorbidities
Gyu33,[X]Other forms of chronic ischaemic heart disease,No,Chronic cardiac disease,comorbidities
Gyu34,[X]Acute transmural myocardial infarction of unspecif site,No,Chronic cardiac disease,comorbidities
Gyu35,[X]Subsequent myocardial infarction of other sites,No,Chronic cardiac disease,comorbidities
Gyu36,[X]Subsequent myocardial infarction of unspecified site,No,Chronic cardiac disease,comorbidities
Gyu5M,[X]Other hypertrophic cardiomyopathy,No,Chronic cardiac disease,comorbidities
Gyu5N,[X]Other restrictive cardiomyopathy,No,Chronic cardiac disease,comorbidities
Gyu5P,[X]Other cardiomyopathies,No,Chronic cardiac disease,comorbidities
Gyu5Q,[X]Cardiomyopathy in infectious+parasitic diseases CE,No,Chronic cardiac disease,comorbidities
Gyu5R,[X]Cardiomyopathy in metabolic diseases classified elsewhere,No,Chronic cardiac disease,comorbidities
Gyu5S,[X]Cardiomyopathy in nutritional diseases CE,No,Chronic cardiac disease,comorbidities
Gyu5T,[X]Cardiomyopathy in other diseases classified elsewhere,No,Chronic cardiac disease,comorbidities
H541z,Pulmonary oedema NOS,No,Chronic cardiac disease,comorbidities
H584.,Acute pulmonary oedema unspecified,No,Chronic cardiac disease,comorbidities
H584z,Acute pulmonary oedema NOS,No,Chronic cardiac disease,comorbidities
L09y1,Cardiac arrest following abortive pregnancy,No,Chronic cardiac disease,comorbidities
L09y2,Cardiac failure following abortive pregnancy,No,Chronic cardiac disease,comorbidities
L1280,Pre-exist hyperten heart dis compl preg childbth+puerperium,No,Chronic cardiac disease,comorbidities
L1281,Pre-exist hyperten heart renal dis comp preg chldbirth/puerp,No,Chronic cardiac disease,comorbidities
P50..,Aortopulmonary septal anomaly (& [common trunk] or [defect]),No,Chronic cardiac disease,comorbidities
P50z.,Common aortopulmonary trunk NOS,No,Chronic cardiac disease,comorbidities
P51..,Discordant ventriculoarterial connection,No,Chronic cardiac disease,comorbidities
P510.,Total great vessel transposition,No,Chronic cardiac disease,comorbidities
P511.,Double outlet right ventricle,No,Chronic cardiac disease,comorbidities
P5110,"Double outlet right ventricle, unspecified",No,Chronic cardiac disease,comorbidities
P5111,Dextratransposition of aorta,No,Chronic cardiac disease,comorbidities
P5112,Incomplete great vessel transposition,No,Chronic cardiac disease,comorbidities
P5113,Double outlet rt ventricle + subpulm ventriculr septl defect,No,Chronic cardiac disease,comorbidities
P511z,Double outlet right ventricle NOS,No,Chronic cardiac disease,comorbidities
P512.,Congenitally corrected transposition of great arteries,No,Chronic cardiac disease,comorbidities
P51y.,(Oth spec transposit great vessels) or (transposit of aorta),No,Chronic cardiac disease,comorbidities
P51z.,(Great vessel transpos NOS) or (transpos arterial trunk NEC),No,Chronic cardiac disease,comorbidities
P52..,Tetralogy of Fallot,No,Chronic cardiac disease,comorbidities
P520.,Tetralog Fallot: [unsp][ventric sept def][dextraposit aorta],No,Chronic cardiac disease,comorbidities
P521.,Pentalogy of Fallot,No,Chronic cardiac disease,comorbidities
P52z.,Tetralogy of Fallot NOS,No,Chronic cardiac disease,comorbidities
P53..,[Common] and [ventricle],No,Chronic cardiac disease,comorbidities
P54..,Ventricular septal defect,No,Chronic cardiac disease,comorbidities
P540.,"Ventricular septal defect, unspecified",No,Chronic cardiac disease,comorbidities
P541.,Interventricular septal defect,No,Chronic cardiac disease,comorbidities
P542.,Right sided atrium connecting to left ventricle,No,Chronic cardiac disease,comorbidities
P543.,Eisenmenger's complex,No,Chronic cardiac disease,comorbidities
P544.,Vent septal defect between left ventricle and right atrium,No,Chronic cardiac disease,comorbidities
P545.,Small ventricular septal defect,No,Chronic cardiac disease,comorbidities
P54y.,Other specified ventricular septal defect,No,Chronic cardiac disease,comorbidities
P54z.,Ventricular septal defect NOS,No,Chronic cardiac disease,comorbidities
P550.,Septal def: [interaur][atrial NOS][auric NOS][interatr NEC],No,Chronic cardiac disease,comorbidities
P553.,Lutembacher's syndrome,No,Chronic cardiac disease,comorbidities
P56..,Endocardial cushion defects,No,Chronic cardiac disease,comorbidities
P560.,"Endocardial cushion defects, unspecified",No,Chronic cardiac disease,comorbidities
P56y.,Other specified endocardial cushion defects,No,Chronic cardiac disease,comorbidities
P56z.,Endocardial cushion defects NOS,No,Chronic cardiac disease,comorbidities
P56z2,Common atrioventricular-type ventricular septal defect,No,Chronic cardiac disease,comorbidities
P57..,Cor biloculare,No,Chronic cardiac disease,comorbidities
P5y..,Other heart bulb and septal closure defect,No,Chronic cardiac disease,comorbidities
P5z..,Heart bulb or septal closure defects NOS,No,Chronic cardiac disease,comorbidities
P6...,Other congenital heart anomalies,No,Chronic cardiac disease,comorbidities
P60..,Congenital pulmonary valve abnormality,No,Chronic cardiac disease,comorbidities
P600.,"Pulmonary valve anomaly, unspecified",No,Chronic cardiac disease,comorbidities
P601.,Congenital atresia of the pulmonary valve,No,Chronic cardiac disease,comorbidities
P6010,Hypoplasia of pulmonary valve,No,Chronic cardiac disease,comorbidities
P601z,Congenital atresia of pulmonary valve NOS,No,Chronic cardiac disease,comorbidities
P602.,Congenital pulmonary valve stenosis,No,Chronic cardiac disease,comorbidities
P6020,Congenital fusion of pulmonic cusps,No,Chronic cardiac disease,comorbidities
P6021,Congenital fusion of pulmonary valve segment,No,Chronic cardiac disease,comorbidities
P602z,Congenital pulmonary stenosis NOS,No,Chronic cardiac disease,comorbidities
P603.,(Right hypoplastic heart synd) or (pseudotruncus arteriosus),No,Chronic cardiac disease,comorbidities
P60z.,Other pulmonary valve anomalies,No,Chronic cardiac disease,comorbidities
P60z0,Congenital insufficiency of the pulmonary valve,No,Chronic cardiac disease,comorbidities
P60z1,Fallot's trilogy,No,Chronic cardiac disease,comorbidities
P60z2,Supernumerary pulmonary valve cusps,No,Chronic cardiac disease,comorbidities
P60zz,Other pulmonary valve anomaly NOS,No,Chronic cardiac disease,comorbidities
P61..,Congenital tricuspid atresia and stenosis,No,Chronic cardiac disease,comorbidities
P610.,Tricuspid atresia,No,Chronic cardiac disease,comorbidities
P611.,Congenital tricuspid stenosis,No,Chronic cardiac disease,comorbidities
P61z.,Congenital tricuspid atresia or stenosis NOS,No,Chronic cardiac disease,comorbidities
P62..,Ebstein's anomaly of tricuspid valve,No,Chronic cardiac disease,comorbidities
P63..,Congenital aortic valve stenosis,No,Chronic cardiac disease,comorbidities
P64..,Congenital aortic valve insufficiency,No,Chronic cardiac disease,comorbidities
P640.,"Congenital aortic valve insufficiency, unspecified",No,Chronic cardiac disease,comorbidities
P641.,Bicuspid aortic valve,No,Chronic cardiac disease,comorbidities
P64z.,Congenital aortic valve insufficiency NOS,No,Chronic cardiac disease,comorbidities
P65..,Congenital mitral stenosis,No,Chronic cardiac disease,comorbidities
P650.,"Congenital mitral stenosis, unspecified",No,Chronic cardiac disease,comorbidities
P651.,Fused commissure of the mitral valve,No,Chronic cardiac disease,comorbidities
P652.,Parachute malformation of mitral valve,No,Chronic cardiac disease,comorbidities
P653.,Supernumerary cusps of the mitral valve,No,Chronic cardiac disease,comorbidities
P65z.,Congenital mitral stenosis NOS,No,Chronic cardiac disease,comorbidities
P66..,Congenital mitral regurgitation,No,Chronic cardiac disease,comorbidities
P67..,Hypoplastic left heart syndrome,No,Chronic cardiac disease,comorbidities
P6y..,Other specified heart anomalies,No,Chronic cardiac disease,comorbidities
P6y0.,Subaortic stenosis,No,Chronic cardiac disease,comorbidities
P6y1.,Cor triatriatum,No,Chronic cardiac disease,comorbidities
P6y2.,Pulmonary infundibular stenosis,No,Chronic cardiac disease,comorbidities
P6y3.,Obstructive heart anomaly NEC,No,Chronic cardiac disease,comorbidities
P6y30,Paper thin right ventricle,No,Chronic cardiac disease,comorbidities
P6y3z,Obstructive heart anomaly NEC NOS,No,Chronic cardiac disease,comorbidities
P6y4.,Coronary artery abnormality,No,Chronic cardiac disease,comorbidities
P6y40,Congenital absence of coronary artery,No,Chronic cardiac disease,comorbidities
P6y41,Single coronary artery,No,Chronic cardiac disease,comorbidities
P6y42,Coronary artery from aorta,No,Chronic cardiac disease,comorbidities
P6y43,Anomalous origin of coronary artery from pulmonary trunk,No,Chronic cardiac disease,comorbidities
P6y44,Anomalous congen coronary communication (& arteriovenous),No,Chronic cardiac disease,comorbidities
P6y45,Congenital coronary aneurysm,No,Chronic cardiac disease,comorbidities
P6y46,Congenital stricture of coronary artery,No,Chronic cardiac disease,comorbidities
P6y4z,Coronary artery anomaly NOS,No,Chronic cardiac disease,comorbidities
P6y60,Heart predominantly in right hemithorax,No,Chronic cardiac disease,comorbidities
P6y62,Mesocardia,No,Chronic cardiac disease,comorbidities
P6y63,Extrathoracic heart,No,Chronic cardiac disease,comorbidities
P6y64,Abdominal heart,No,Chronic cardiac disease,comorbidities
P6y6z,Heart or cardiac apex malposition NOS,No,Chronic cardiac disease,comorbidities
P6yy.,(Specif heart anom ([vars]) or (hypoplast aort orif/valve),No,Chronic cardiac disease,comorbidities
P6yy0,Atresia of cardiac vein,No,Chronic cardiac disease,comorbidities
P6yy1,Hypoplasia of cardiac vein,No,Chronic cardiac disease,comorbidities
P6yy2,Congenital cardiomegaly,No,Chronic cardiac disease,comorbidities
P6yy3,Congenital left ventricular diverticulum,No,Chronic cardiac disease,comorbidities
P6yy5,Congenital anomaly of myocardium,No,Chronic cardiac disease,comorbidities
P6yy6,Congenital aneurysm of heart,No,Chronic cardiac disease,comorbidities
P6yy7,Atresia of heart valve NEC,No,Chronic cardiac disease,comorbidities
P6yy8,Cor triloculare,No,Chronic cardiac disease,comorbidities
P6yy9,Congenital epicardial cyst,No,Chronic cardiac disease,comorbidities
P6yyA,Hemicardia,No,Chronic cardiac disease,comorbidities
P6yyB,Supernumerary heart valve cusps NEC,No,Chronic cardiac disease,comorbidities
P6yyD,Fusion of heart valve cusps NEC (& [tricuspid]),No,Chronic cardiac disease,comorbidities
P6yyz,Other specified heart anomalies NOS,No,Chronic cardiac disease,comorbidities
P6z..,(Congenital heart anomaly NOS) or (Chiari's malformation),No,Chronic cardiac disease,comorbidities
P6z0.,Unspecified anomaly of heart valve,No,Chronic cardiac disease,comorbidities
P6z2.,Acyanotic congenital heart disease NOS,No,Chronic cardiac disease,comorbidities
P6zz.,Congenital heart anomaly NOS,No,Chronic cardiac disease,comorbidities
P71..,Aortic coarctation,No,Chronic cardiac disease,comorbidities
P710.,"Hypoplasia of aortic arch, unspecified",No,Chronic cardiac disease,comorbidities
P713.,Interrupted aortic arch,No,Chronic cardiac disease,comorbidities
P71z.,Coarctation of aorta NOS,No,Chronic cardiac disease,comorbidities
P72..,(Other anomalies aorta) or (anomalies aorta excl coarction),No,Chronic cardiac disease,comorbidities
P720.,"Anomaly of aorta, unspecified",No,Chronic cardiac disease,comorbidities
P7210,Anomalous origin of the aortic arch,No,Chronic cardiac disease,comorbidities
P7211,Aorta [dextraposition] or [overriding],No,Chronic cardiac disease,comorbidities
P7212,(Double aortic arch) or (vascular ring),No,Chronic cardiac disease,comorbidities
P7214,Persistent aortic arch convolutions,No,Chronic cardiac disease,comorbidities
P7215,Persistent right aortic arch,No,Chronic cardiac disease,comorbidities
P7216,"Vascular ring, aorta",No,Chronic cardiac disease,comorbidities
P7217,Overriding aorta,No,Chronic cardiac disease,comorbidities
P721z,Aortic arch anomalies NOS,No,Chronic cardiac disease,comorbidities
P722.,Atresia and stenosis of aorta,No,Chronic cardiac disease,comorbidities
P7220,Congenital absence of aorta,No,Chronic cardiac disease,comorbidities
P7221,Aplasia of aorta,No,Chronic cardiac disease,comorbidities
P7224,Aortic stenosis: [supra-valvula] or [congenital ascending],No,Chronic cardiac disease,comorbidities
P7225,Atresia of aorta,No,Chronic cardiac disease,comorbidities
P722z,Atresia or stenosis of aorta NOS,No,Chronic cardiac disease,comorbidities
P72z.,Other anomalies of aorta NOS,No,Chronic cardiac disease,comorbidities
P72z0,Sinus of Valsalva aneurysm,No,Chronic cardiac disease,comorbidities
P73..,Pulmonary artery abnormality,No,Chronic cardiac disease,comorbidities
P730.,"Pulmonary artery anomaly, unspecified",No,Chronic cardiac disease,comorbidities
P731.,Pulmonary artery absent,No,Chronic cardiac disease,comorbidities
P732.,Pulmonary artery atresia,No,Chronic cardiac disease,comorbidities
P733.,Coarctation of the pulmonary artery,No,Chronic cardiac disease,comorbidities
P734.,Pulmonary artery hypoplasia,No,Chronic cardiac disease,comorbidities
P735.,Pulmonary artery: [stenosis] or [congenital stricture],No,Chronic cardiac disease,comorbidities
P738.,Atresia of pulmonary artery with septal defect,No,Chronic cardiac disease,comorbidities
P73y.,Other specified anomaly of pulmonary artery,No,Chronic cardiac disease,comorbidities
P73z.,Pulmonary artery anomaly NOS,No,Chronic cardiac disease,comorbidities
P74..,Anomalies of great veins,No,Chronic cardiac disease,comorbidities
P740.,"Anomaly of great veins, unspecified",No,Chronic cardiac disease,comorbidities
P7400,"Anomaly of the pulmonary veins, unspecified",No,Chronic cardiac disease,comorbidities
P7401,"Anomaly of the vena cava, unspecified",No,Chronic cardiac disease,comorbidities
P740z,"Unspecified anomaly of the great veins, NOS",No,Chronic cardiac disease,comorbidities
P741.,Total anomalous pulmonary venous connection,No,Chronic cardiac disease,comorbidities
P7410,Subdiaphragmatic total anomalous pulmonary venous return,No,Chronic cardiac disease,comorbidities
P7411,Supradiaphragmatic total anomalous pulmonary venous return,No,Chronic cardiac disease,comorbidities
P741z,Total anomalous pulmonary venous return NOS,No,Chronic cardiac disease,comorbidities
P74z0,Absence of inferior vena cava,No,Chronic cardiac disease,comorbidities
P74z1,Absence of superior vena cava,No,Chronic cardiac disease,comorbidities
P74z2,Congenital inferior vena cava stenosis,No,Chronic cardiac disease,comorbidities
P74z3,Congenital superior vena cava stenosis,No,Chronic cardiac disease,comorbidities
P74z4,Persistent left posterior cardinal vein,No,Chronic cardiac disease,comorbidities
P74z5,Persistent left superior vena cava,No,Chronic cardiac disease,comorbidities
P74z6,Scimitar syndrome,No,Chronic cardiac disease,comorbidities
P74z7,Transposition of pulmonary veins,No,Chronic cardiac disease,comorbidities
P74z8,Pulmonary vein atresia,No,Chronic cardiac disease,comorbidities
P74zz,Other great vein anomaly NOS,No,Chronic cardiac disease,comorbidities
PK34.,Situs inversus with levocardia,No,Chronic cardiac disease,comorbidities
PK35.,Kartageners syndrome,No,Chronic cardiac disease,comorbidities
PKy71,Holt-Oram syndrome,No,Chronic cardiac disease,comorbidities
PKyz1,Acardia,No,Chronic cardiac disease,comorbidities
Pyu20,[X]Other cong malformatn of cardiac chambers & connections,No,Chronic cardiac disease,comorbidities
Pyu21,[X]Other congenital malformations of cardiac septa,No,Chronic cardiac disease,comorbidities
Pyu22,[X]Other congenital malformations of pulmonary valve,No,Chronic cardiac disease,comorbidities
Pyu23,[X]Other congenital malformations of tricuspid valve,No,Chronic cardiac disease,comorbidities
Pyu24,[X]Other congenital malformations of aortic & mitral valves,No,Chronic cardiac disease,comorbidities
Pyu25,[X]Other specified congenital malformations of the heart,No,Chronic cardiac disease,comorbidities
Pyu26,[X]Other congenital malformations of aorta,No,Chronic cardiac disease,comorbidities
Pyu27,[X]Other congenital malformations of pulmonary artery,No,Chronic cardiac disease,comorbidities
Pyu28,[X]Other congenital malformations of great arteries,No,Chronic cardiac disease,comorbidities
Pyu29,[X]Other congenital malformations of great veins,No,Chronic cardiac disease,comorbidities
Pyu2G,"[X]Congenital malformation of tricuspid valve, unspecified",No,Chronic cardiac disease,comorbidities
Pyu2H,[X]Congenital malformation of aortic and mitral valves unsp,No,Chronic cardiac disease,comorbidities
Pyu2J,"[X]Congenital malformation of great arteries, unspecified",No,Chronic cardiac disease,comorbidities
Q48y1,Congenital cardiac failure,No,Chronic cardiac disease,comorbidities
R2y10,[D]Cardiorespiratory failure,No,Chronic cardiac disease,comorbidities
SP003,Mechanical complication of coronary bypass,No,Chronic cardiac disease,comorbidities
SP084,Heart transplant failure and rejection,No,Chronic cardiac disease,comorbidities
SP085,Heart-lung transplant failure and rejection,No,Chronic cardiac disease,comorbidities
SP111,[Cardiac insuffic] or [heart fail] as a complication of care,No,Chronic cardiac disease,comorbidities
SP2y1,Postcardiotomy syndrome,No,Chronic cardiac disease,comorbidities
TB000,"Heart transplant with complication, without blame",No,Chronic cardiac disease,comorbidities
Ua1eH,Ischaemic chest pain,No,Chronic cardiac disease,comorbidities
X00tE,Coronary artery bypass grafting,No,Chronic cardiac disease,comorbidities
X00tG,Coronary artery bypass graft x 1,No,Chronic cardiac disease,comorbidities
X00tH,Coronary artery bypass grafts x 2,No,Chronic cardiac disease,comorbidities
X00tI,Coronary artery bypass grafts x 3,No,Chronic cardiac disease,comorbidities
X00tJ,Coronary artery bypass grafts x 4,No,Chronic cardiac disease,comorbidities
X00tK,Coronary artery bypass grafts x 5,No,Chronic cardiac disease,comorbidities
X00tL,Coronary artery bypass grafts greater than 5,No,Chronic cardiac disease,comorbidities
X00tM,Endarterectomy of coronary artery,No,Chronic cardiac disease,comorbidities
X00tN,Open coronary artery endarterectomy,No,Chronic cardiac disease,comorbidities
X00tO,Percutaneous endarterectomy of coronary artery,No,Chronic cardiac disease,comorbidities
X00tP,Percutaneous directional coronary atherectomy,No,Chronic cardiac disease,comorbidities
X00tQ,Percutaneous low speed rotational coronary atherectomy,No,Chronic cardiac disease,comorbidities
X00tR,Percutaneous high speed rotational coronary atherectomy,No,Chronic cardiac disease,comorbidities
X00tS,Angioplasty of coronary artery,No,Chronic cardiac disease,comorbidities
X00tT,Percutaneous thrombolysis of coronary artery,No,Chronic cardiac disease,comorbidities
X00tU,Insertion of coronary artery stent,No,Chronic cardiac disease,comorbidities
X00tX,Angioscopy of coronary artery,No,Chronic cardiac disease,comorbidities
X00tY,Patch repair of coronary artery,No,Chronic cardiac disease,comorbidities
X00tZ,Operation for coronary artery fistula,No,Chronic cardiac disease,comorbidities
X00ta,Open operation for coronary artery fistula,No,Chronic cardiac disease,comorbidities
X00tb,Embolisation of coronary artery fistula,No,Chronic cardiac disease,comorbidities
X00tc,Ligation of coronary artery,No,Chronic cardiac disease,comorbidities
X00td,Reimplantation of coronary artery,No,Chronic cardiac disease,comorbidities
X00te,Removal of foreign body from coronary artery,No,Chronic cardiac disease,comorbidities
X010U,Repair of Fallot-type double outlet right ventricle,No,Chronic cardiac disease,comorbidities
X010l,Repair of double outlet right ventricle,No,Chronic cardiac disease,comorbidities
X010m,Rastelli operation,No,Chronic cardiac disease,comorbidities
X010n,Rev operation,No,Chronic cardiac disease,comorbidities
X0111,Take down of total cavopulmonary connection,No,Chronic cardiac disease,comorbidities
X102X,Acute pulmonary oedema,No,Chronic cardiac disease,comorbidities
X102Y,Acute cardiac pulmonary oedema,No,Chronic cardiac disease,comorbidities
X2006,Triple vessel disease of the heart,No,Chronic cardiac disease,comorbidities
X2007,Angina at rest,No,Chronic cardiac disease,comorbidities
X2008,Stable angina,No,Chronic cardiac disease,comorbidities
X2009,Unstable angina,No,Chronic cardiac disease,comorbidities
X200A,New onset angina,No,Chronic cardiac disease,comorbidities
X200B,Coronary spasm,No,Chronic cardiac disease,comorbidities
X200C,Myocardial ischaemia,No,Chronic cardiac disease,comorbidities
X200D,Silent myocardial ischaemia,No,Chronic cardiac disease,comorbidities
X200E,Myocardial infarction,No,Chronic cardiac disease,comorbidities
X200G,Acute Q wave infarction - anteroseptal,No,Chronic cardiac disease,comorbidities
X200H,Acute non-Q wave infarction - anteroseptal,No,Chronic cardiac disease,comorbidities
X200I,Acute Q wave infarction - anterolateral,No,Chronic cardiac disease,comorbidities
X200J,Acute non-Q wave infarction - anterolateral,No,Chronic cardiac disease,comorbidities
X200K,Acute inferior myocardial infarction,No,Chronic cardiac disease,comorbidities
X200L,Acute Q wave infarction - inferior,No,Chronic cardiac disease,comorbidities
X200M,Acute non-Q wave infarction - inferior,No,Chronic cardiac disease,comorbidities
X200N,Acute Q wave infarction - inferolateral,No,Chronic cardiac disease,comorbidities
X200O,Acute non-Q wave infarction - inferolateral,No,Chronic cardiac disease,comorbidities
X200P,Acute lateral myocardial infarction,No,Chronic cardiac disease,comorbidities
X200Q,Acute Q wave infarction - lateral,No,Chronic cardiac disease,comorbidities
X200R,Acute non-Q wave infarction - lateral,No,Chronic cardiac disease,comorbidities
X200S,Acute widespread myocardial infarction,No,Chronic cardiac disease,comorbidities
X200T,Acute Q wave infarction - widespread,No,Chronic cardiac disease,comorbidities
X200U,Acute non-Q wave infarction - widespread,No,Chronic cardiac disease,comorbidities
X200V,Acute posterior myocardial infarction,No,Chronic cardiac disease,comorbidities
X200W,Old anterior myocardial infarction,No,Chronic cardiac disease,comorbidities
X200X,Old inferior myocardial infarction,No,Chronic cardiac disease,comorbidities
